eid	date	description	amount	category
1202	7/15/2013	Associated Wholesale Grocers	148	grocery
1203	7/7/2013	Chevron	83	transportation
1204	7/25/2013	Mobil	66	transportation
1205	7/14/2013	BP	20	transportation
1206	7/4/2013	Valero	85	transportation
1207	7/28/2013	Murphy USA	92	transportation
1208	7/5/2013	gas	30	transportation
1209	7/13/2013	dvds	19	entertainment
1210	7/27/2013	movies	21	entertainment
1211	7/26/2013	dvds	15	entertainment
1212	7/29/2013	Costco	438	home
1214	7/21/2013	Kirkland's	153	home
1215	7/22/2013	Kohl's	61	shopping
1216	7/27/2013	JCPenney	91	shopping
1217	7/30/2013	Saks Fifth Avenue	140	shopping
1219	7/29/2013	T-Mobile	265	utilities
1646	7/18/2013	Greyhound	20	transportation
1220	8/12/2013	Raley's	155	grocery
1221	8/9/2013	Hess	93	transportation
1222	8/17/2013	7-Eleven brand gasoline	27	transportation
1223	8/9/2013	"Gas City, Ltd."	88	transportation
1224	8/6/2013	Office Depot	441	home
1225	8/7/2013	Boscov's	171	shopping
1226	8/27/2013	Last Call Neiman Marcus	166	shopping
1227	8/25/2013	Sears Essentials	33	shopping
1229	8/8/2013	Dish Network	209	utilities
1230	8/2/2013	AT&T	98	utilities
1231	8/2/2013	Applebee's	50	restaurants
1232	8/16/2013	Arctic Circle Restaurants	49	restaurants
1233	8/31/2013	Schlotzsky's	23	restaurants
1234	8/3/2013	Cold Stone Creamery	38	restaurants
1235	8/12/2013	Subway	18	restaurants
1236	8/13/2013	Benihana	6	restaurants
1237	8/31/2013	﻿A&W Restaurants	46	restaurants
1238	9/27/2013	Vallarta Supermarkets	184	grocery
1239	9/6/2013	Vallarta Supermarkets	148	grocery
1240	9/2/2013	movie	6	entertainment
1241	9/20/2013	Netflix	24	entertainment
1242	9/15/2013	Office Depot	226	home
1243	9/1/2013	Ikea	186	home
1244	9/25/2013	Best Buy	438	home
1245	9/6/2013	Walmart	116	home
1246	9/14/2013	Saks Fifth Avenue	121	shopping
1247	9/7/2013	Bergner's	22	shopping
1248	9/23/2013	Boscov's	83	shopping
1249	9/4/2013	DirectTV	237	utilities
1250	9/22/2013	At&t.com	238	utilities
1251	9/9/2013	Ben & Jerry's	22	restaurants
1252	9/8/2013	Eegee's	22	restaurants
1253	9/4/2013	York Steak House	7	restaurants
1254	9/13/2013	Auntie Anne's	11	restaurants
1255	9/16/2013	Moe's Southwest Grill	48	restaurants
1256	9/5/2013	Chevys Fresh Mex	7	restaurants
1257	9/9/2013	Green Burrito	41	restaurants
1258	9/3/2013	Spangles (restaurant)	23	restaurants
1259	9/18/2013	Blimpie	20	restaurants
1260	9/23/2013	CiCi's Pizza	48	restaurants
1691	9/18/2013	Getty	59	transportation
1261	10/22/2013	Brookshire Brothers	43	grocery
1262	10/28/2013	Kam Man Food	175	grocery
1263	10/25/2013	Phillips 66	39	transportation
1264	10/30/2013	Murphy USA	31	transportation
1265	10/23/2013	Amtrak	57	transportation
1266	10/2/2013	Target	355	home
1267	10/3/2013	Newegg	15	home
1268	10/22/2013	Radioshack	480	home
1269	10/6/2013	The Bon-Ton	142	shopping
1270	10/17/2013	Bergdorf Goodman	85	shopping
1271	10/19/2013	Hollister	136	shopping
1272	10/28/2013	Mrs. Fields	21	restaurants
1273	10/22/2013	Hobee's Restaurant	8	restaurants
1274	10/30/2013	HuHot Mongolian Grill	33	restaurants
1275	10/19/2013	Auntie Anne's	39	restaurants
1276	10/5/2013	Green Mill	39	restaurants
1277	10/12/2013	Fleming's Prime Steakhouse & Wine Bar	34	restaurants
1278	10/22/2013	Golden Corral	36	restaurants
1279	10/21/2013	Taco John's	23	restaurants
1280	10/21/2013	Howard Johnson's	9	restaurants
1281	10/23/2013	Fazoli's	18	restaurants
1719	10/6/2013	Von Maur	54	shopping
1283	11/7/2013	Unified Grocers	80	grocery
1284	11/13/2013	Redner's Warehouse Markets	150	grocery
1285	11/13/2013	Mobil	95	transportation
1286	11/15/2013	MARTA	29	transportation
1287	11/5/2013	books	13	entertainment
1288	11/12/2013	CVS	459	home
1289	11/13/2013	Target	73	home
1290	11/22/2013	Lord & Taylor	191	shopping
1291	11/10/2013	Barneys New York	74	shopping
1292	11/16/2013	Dish Network	139	utilities
1293	11/13/2013	hospital	4548	special
1294	11/19/2013	Black Angus Steakhouse	26	restaurants
1295	11/13/2013	Hobee's Restaurant	17	restaurants
1296	11/1/2013	Runza	5	restaurants
1297	11/29/2013	Planet Hollywood	22	restaurants
1298	12/19/2013	WinCo Foods	35	grocery
1299	12/31/2013	Kuhn's Quality Foods	62	grocery
1301	12/2/2013	Hess	75	transportation
1302	12/6/2013	Amoco	86	transportation
1303	12/14/2013	BP	45	transportation
1304	12/12/2013	Pilot	85	transportation
1305	12/31/2013	Wawa	27	transportation
1306	12/13/2013	ARCO	87	transportation
1307	12/26/2013	Phillips 66	23	transportation
1308	12/11/2013	Texaco	48	transportation
1309	12/28/2013	dvds	6	entertainment
1310	12/17/2013	books	28	entertainment
1311	12/21/2013	dvds	5	entertainment
1312	12/6/2013	Target	209	home
1313	12/12/2013	Boston Store	187	shopping
1314	12/4/2013	Aeropostale	43	shopping
1315	12/1/2013	H&M	195	shopping
1316	12/31/2013	T-Mobile	186	utilities
1317	12/12/2013	At&t.com	290	utilities
1318	12/11/2013	Dunkin' Donuts	46	restaurants
1319	12/24/2013	Jamba Juice	34	restaurants
1320	12/21/2013	Carrabba's Italian Grill	7	restaurants
1321	12/5/2013	Chuck E. Cheese's	5	restaurants
1322	12/18/2013	Ben & Jerry's	46	restaurants
1323	12/7/2013	Ben & Jerry's	22	restaurants
1324	1/20/2012	Amoco	21	transportation
1325	1/25/2012	Shell	79	transportation
1326	1/11/2012	Citgo	53	transportation
1327	1/26/2012	Conoco	55	transportation
1328	1/22/2012	Valero	37	transportation
1329	1/20/2012	RaceTrac/Raceway	27	transportation
1330	1/29/2012	Love's	21	transportation
1331	1/17/2012	dvd	30	entertainment
1332	1/25/2012	movies	25	entertainment
1333	1/13/2012	Hulu	5	entertainment
1334	1/22/2012	Office Depot	78	home
1335	1/8/2012	Bergner's	132	shopping
1336	1/5/2012	Hollister	105	shopping
1337	1/30/2012	The Bon-Ton	194	shopping
1338	1/16/2012	Tennesse Valley Authority	202	utilities
1340	2/28/2012	Kroger brand gasoline	62	transportation
1341	2/27/2012	Hess	39	transportation
1342	2/12/2012	movie	27	entertainment
1343	2/17/2012	dvd	9	entertainment
1344	2/22/2012	movies	12	entertainment
1345	2/25/2012	Newegg	421	home
1346	2/9/2012	The Bon-Ton	126	shopping
1347	2/14/2012	Bloomingdale's	131	shopping
1348	2/2/2012	Nordstrom Rack	54	shopping
1349	2/13/2012	Herberger's	141	shopping
1350	2/27/2012	Off 5th Saks Fifth Avenue Outlet	170	shopping
1352	2/20/2012	Cafe Rio	23	restaurants
1353	2/20/2012	Whataburger	44	restaurants
1354	2/14/2012	Culver's	38	restaurants
1355	2/28/2012	Blimpie	12	restaurants
1357	3/19/2012	Grocery Outlet	114	grocery
1358	3/3/2012	Flying J	81	transportation
1359	3/5/2012	Wawa	29	transportation
1360	3/3/2012	dvd	9	entertainment
1361	3/20/2012	books	10	entertainment
1362	3/18/2012	dvds	27	entertainment
1363	3/1/2012	Office Depot	492	home
1364	3/28/2012	DirectTV	66	utilities
1365	3/25/2012	T-Mobile	135	utilities
1366	3/5/2012	Ga tech	396	special
1367	3/1/2012	Chuck-A-Rama	34	restaurants
1368	3/9/2012	Texas Roadhouse	35	restaurants
1369	3/13/2012	KFC	13	restaurants
1370	4/15/2012	Natural Grocers by Vitamin Cottage	128	grocery
1371	4/16/2012	King Kullen	110	grocery
1372	4/25/2012	Martin's Food Markets	188	grocery
1373	4/29/2012	Wawa	46	transportation
1374	4/18/2012	Conoco	44	transportation
1375	4/8/2012	Conoco	92	transportation
1376	4/4/2012	Conoco	96	transportation
1377	4/2/2012	Regal	15	entertainment
1378	4/16/2012	Boscov's	136	shopping
1379	4/6/2012	Dillard's	177	shopping
1380	4/15/2012	T-Mobile	54	utilities
1381	4/8/2012	DirectTV	300	utilities
1382	4/13/2012	Old Country Buffet	49	restaurants
1383	4/3/2012	Braum's	23	restaurants
1384	4/10/2012	Dunkin' Donuts	31	restaurants
1385	4/23/2012	BJ's Restaurant & Brewery	8	restaurants
1386	4/25/2012	Dairy Queen	22	restaurants
1387	4/5/2012	Johnny Rockets	50	restaurants
1388	4/18/2012	Smashburger	34	restaurants
1389	4/22/2012	California Pizza Kitchen	45	restaurants
1390	4/18/2012	Ruby Tuesday	45	restaurants
1392	5/19/2012	QuickChek	97	transportation
1393	5/3/2012	Sinclair	20	transportation
1394	5/29/2012	Sheetz	84	transportation
1395	5/19/2012	Mobil	39	transportation
1396	5/26/2012	Speedway	74	transportation
1397	5/14/2012	Regal	22	entertainment
1398	5/19/2012	books	25	entertainment
1399	5/8/2012	books	7	entertainment
1401	5/4/2012	Macy's	42	shopping
1402	5/18/2012	Nordstrom	164	shopping
1403	5/27/2012	DirectTV	171	utilities
1404	5/1/2012	Georgia Power	178	utilities
1405	5/31/2012	Benihana	33	restaurants
1406	5/22/2012	Johnny Rockets	32	restaurants
1407	5/5/2012	The Original Italian Pie	31	restaurants
1408	5/14/2012	L&L Hawaiian Barbecue	34	restaurants
1409	5/16/2012	Copeland's	14	restaurants
1410	5/6/2012	LongHorn Steakhouse	8	restaurants
1411	6/27/2012	Brookshire Brothers	77	grocery
1412	6/18/2012	Mars	79	grocery
1414	6/19/2012	Speedway	44	transportation
1415	6/18/2012	MARTA	94	transportation
1416	6/13/2012	Cumberland Farms	36	transportation
1418	6/24/2012	books	14	entertainment
1419	6/2/2012	Netflix	30	entertainment
1420	6/28/2012	Netflix	10	entertainment
1421	6/19/2012	Costco	235	home
1422	6/19/2012	Radioshack	301	home
1423	6/24/2012	Radioshack	361	home
1424	6/19/2012	Off 5th Saks Fifth Avenue Outlet	75	shopping
1425	6/15/2012	Last Call Neiman Marcus	143	shopping
1426	6/7/2012	H&M	55	shopping
1427	6/24/2012	Parisian (Bon-Ton)	70	shopping
1428	6/13/2012	Alabama Power	84	utilities
1429	6/6/2012	Cracker Barrel Old Country Store	13	restaurants
1430	6/2/2012	"	"""""	17	restaurants
1431	7/17/2012	Exxon	70	transportation
1432	7/2/2012	JetBlue	93	transportation
1433	7/6/2012	Exxon	41	transportation
1435	7/2/2012	movie	22	entertainment
1437	7/31/2012	Off 5th Saks Fifth Avenue Outlet	28	shopping
1438	7/22/2012	Planet Hollywood	5	restaurants
1439	7/11/2012	Twin Peaks	48	restaurants
1440	7/19/2012	Ruby Tuesday	15	restaurants
1441	7/29/2012	Hungry Howie's Pizza	35	restaurants
1442	7/6/2012	Saladworks	12	restaurants
1444	7/18/2012	Claim Jumper	48	restaurants
1445	8/26/2012	Central Market	185	grocery
1446	8/7/2012	Sedano's	61	grocery
1447	8/2/2012	Sheetz	96	transportation
1448	8/1/2012	ARCO	71	transportation
1450	8/16/2012	Barneys New York	99	shopping
1451	8/31/2012	JCPenney	60	shopping
1452	8/4/2012	T-Mobile	250	utilities
1453	8/19/2012	Tuition	952	special
1454	8/19/2012	Naugles	13	restaurants
1455	8/18/2012	Hungry Howie's Pizza	22	restaurants
1456	8/31/2012	Howard Johnson's	10	restaurants
1457	8/9/2012	Captain D's	38	restaurants
1458	8/30/2012	Chicken Express	10	restaurants
1460	9/1/2012	Schnucks	162	grocery
1461	9/13/2012	Schnucks	50	grocery
1462	9/10/2012	Times Supermarkets	90	grocery
1463	9/4/2012	Carnival	32	transportation
1465	9/6/2012	Texaco	70	transportation
1466	9/10/2012	RaceTrac/Raceway	98	transportation
1467	9/15/2012	gas	51	transportation
1468	9/3/2012	Travelcenters of America	27	transportation
1469	9/17/2012	Regal	6	entertainment
1470	9/3/2012	books	26	entertainment
1471	9/17/2012	Hulu	25	entertainment
1472	9/28/2012	Belk	169	shopping
1473	9/7/2012	Off 5th Saks Fifth Avenue Outlet	162	shopping
1474	9/27/2012	Carson Pirie Scott	190	shopping
1475	9/16/2012	Aeropostale	83	shopping
1476	9/16/2012	Captain D's	46	restaurants
1477	9/18/2012	Donatos Pizza	39	restaurants
1478	9/2/2012	Montana Mike's	8	restaurants
1479	9/8/2012	Penn Station (restaurant)	21	restaurants
1480	9/26/2012	Ben & Jerry's	40	restaurants
1481	9/23/2012	Eat'n Park	48	restaurants
1482	10/15/2012	Lukoil	86	transportation
1484	10/20/2012	books	26	entertainment
1485	10/29/2012	dvd	29	entertainment
1486	10/7/2012	Lowes	341	home
1487	10/16/2012	Walmart	148	home
1488	10/30/2012	Kirkland's	223	home
1489	10/8/2012	Staples	235	home
1490	10/6/2012	Kohl's	146	shopping
1491	10/1/2012	Von Maur	89	shopping
1492	10/2/2012	JCPenney	109	shopping
1493	10/22/2012	Sprint	209	utilities
1494	10/2/2012	Tmobile	160	utilities
1496	10/5/2012	Arby's	20	restaurants
1497	10/27/2012	LongHorn Steakhouse	34	restaurants
1498	10/11/2012	Taco John's	8	restaurants
1499	10/22/2012	Tony Roma's	31	restaurants
1500	11/15/2012	Texaco	63	transportation
1501	11/5/2012	Hess	57	transportation
1502	11/17/2012	Travelcenters of America	70	transportation
1503	11/25/2012	American Airlines	46	transportation
1504	11/17/2012	Southwest	83	transportation
1505	11/3/2012	Greyhound	78	transportation
1506	11/7/2012	Southwest	55	transportation
1507	11/13/2012	Gulf	94	transportation
1508	11/21/2012	Costco	345	home
1509	11/26/2012	DirectTV	120	utilities
1510	11/3/2012	Sprint	82	utilities
1511	11/7/2012	Taxes	4280	special
1512	11/1/2012	Applebee's	49	restaurants
1513	11/7/2012	Burger Street	37	restaurants
1514	11/27/2012	Whataburger	21	restaurants
1515	11/11/2012	Shoney's	27	restaurants
1516	12/4/2012	Brookshire Brothers	98	grocery
1517	12/16/2012	Murphy's Marketplace	31	grocery
1518	12/2/2012	Lowes	298	home
1519	12/18/2012	Kirkland's	397	home
1520	12/7/2012	Herberger's	32	shopping
1521	12/12/2012	Comcast	58	utilities
1522	12/2/2012	Alabama Power	257	utilities
1523	12/1/2012	Souplantation and Sweet Tomatoes	33	restaurants
1524	12/20/2012	Chuck-A-Rama	36	restaurants
1525	12/23/2012	Cheeseburger in Paradise	26	restaurants
1526	12/13/2012	Sneaky Pete's	28	restaurants
1527	12/24/2012	LongHorn Steakhouse	38	restaurants
1528	12/2/2012	Roy Rogers Restaurants	16	restaurants
1529	12/15/2012	Domino's Pizza	50	restaurants
1530	12/30/2012	Montana Mike's	15	restaurants
1531	12/6/2012	McDonald's	30	restaurants
1532	1/1/2013	IGA	171	grocery
1533	1/16/2013	King Kullen	42	grocery
1534	1/12/2013	Hugo's	158	grocery
1535	1/25/2013	Valero	45	transportation
1536	1/19/2013	Mobil	84	transportation
1537	1/22/2013	Flying J	47	transportation
1538	1/20/2013	Sinclair	81	transportation
1539	1/4/2013	Regal	13	entertainment
1540	1/26/2013	dvds	27	entertainment
1542	1/19/2013	H&M	109	shopping
1543	1/14/2013	Lord & Taylor	200	shopping
1544	1/23/2013	Aeropostale	196	shopping
1545	1/29/2013	Bergdorf Goodman	184	shopping
1546	1/22/2013	Dish Network	223	utilities
1547	1/24/2013	Sprint	91	utilities
1549	1/1/2013	Cracker Barrel Old Country Store	25	restaurants
1550	1/30/2013	Pei Wei Asian Diner	7	restaurants
1551	2/11/2013	Associated Wholesale Grocers	94	grocery
1552	2/12/2013	Speedway	84	transportation
1553	2/24/2013	BP	88	transportation
1554	2/10/2013	Exxon	24	transportation
1556	2/9/2013	QuikTrip	25	transportation
1557	2/6/2013	Radioshack	455	home
1558	2/12/2013	Best Buy	25	home
1559	2/4/2013	Lowes	378	home
1561	2/15/2013	Bergdorf Goodman	52	shopping
1562	2/24/2013	Comcast	220	utilities
1563	2/23/2013	Tmobile	136	utilities
1564	2/3/2013	Sub Station II	50	restaurants
1567	2/19/2013	Outback Steakhouse	25	restaurants
1569	2/27/2013	The Original Italian Pie	9	restaurants
1570	2/5/2013	Little Caesars	17	restaurants
1571	2/2/2013	Big Boy	6	restaurants
1572	2/19/2013	Whataburger	10	restaurants
1573	3/5/2013	BP	77	transportation
1574	3/2/2013	Valero	23	transportation
1575	3/20/2013	Delta	45	transportation
1576	3/4/2013	Love's	44	transportation
1577	3/10/2013	movies	17	entertainment
1578	3/4/2013	movie	19	entertainment
1579	3/21/2013	Costco	26	home
1580	3/25/2013	Walmart	498	home
1581	3/13/2013	Radioshack	403	home
1582	3/8/2013	Boston Store	110	shopping
1583	3/3/2013	Kohl's	115	shopping
1584	3/25/2013	Comcast	274	utilities
1585	4/16/2013	Raley's	140	grocery
1586	4/2/2013	Winn-Dixie	175	grocery
1587	4/17/2013	Texaco	89	transportation
1588	4/10/2013	BP	81	transportation
1589	4/16/2013	Hulu	30	entertainment
1590	4/11/2013	Best Buy	427	home
1591	4/18/2013	Newegg	415	home
1592	4/25/2013	UPS	258	home
1594	4/17/2013	Parisian (Bon-Ton)	69	shopping
1595	4/19/2013	The Bon-Ton	121	shopping
1596	4/30/2013	Parisian (Bon-Ton)	177	shopping
1597	4/28/2013	Barneys New York	72	shopping
1598	4/15/2013	Dish Network	201	utilities
1599	4/15/2013	AT&T	223	utilities
1600	5/30/2013	Airport	35	transportation
1601	5/18/2013	Hess	67	transportation
1602	5/25/2013	76	75	transportation
1603	5/24/2013	Sunoco	77	transportation
1604	5/24/2013	MARTA	50	transportation
1605	5/5/2013	QuickChek	47	transportation
1607	5/9/2013	Bloomingdale's	25	shopping
1608	5/4/2013	Bloomingdale's	27	shopping
1609	5/17/2013	Bergdorf Goodman	39	shopping
1610	5/28/2013	Off 5th Saks Fifth Avenue Outlet	122	shopping
1611	5/4/2013	Georgia Power	244	utilities
1612	5/30/2013	KFC	33	restaurants
1614	5/17/2013	Steak 'n Shake	31	restaurants
1615	5/23/2013	Carrabba's Italian Grill	15	restaurants
1616	5/31/2013	Taco Time	23	restaurants
1618	5/5/2013	Hobee's Restaurant	50	restaurants
1619	5/13/2013	BJ's Restaurant & Brewery	46	restaurants
1621	6/24/2013	Grocery Outlet	162	grocery
1622	6/13/2013	Murphy USA	97	transportation
1624	6/15/2013	76	76	transportation
1625	6/1/2013	MARTA	48	transportation
1626	6/21/2013	Conoco	45	transportation
1627	6/29/2013	Chevron	41	transportation
1629	6/18/2013	dvd	27	entertainment
1630	6/11/2013	Netflix	24	entertainment
1631	6/13/2013	dvds	26	entertainment
1632	6/10/2013	Walmart	236	home
1633	6/21/2013	Ikea	284	home
1634	6/11/2013	CVS	445	home
1635	6/3/2013	Barneys New York	65	shopping
1637	6/10/2013	Sprint	267	utilities
1638	6/23/2013	Alabama Power	189	utilities
1639	6/18/2013	hospital	3358	special
1640	6/28/2013	Damon's Grill	36	restaurants
1641	6/23/2013	Carino's Italian Grill	10	restaurants
1642	6/18/2013	Potbelly Sandwich Works	28	restaurants
1643	6/30/2013	Chuck-A-Rama	14	restaurants
1644	6/25/2013	Culver's	27	restaurants
1645	6/8/2013	Smokey Bones	46	restaurants
1647	7/26/2013	gas	65	transportation
1648	7/9/2013	Murphy USA	94	transportation
1649	7/26/2013	Kroger brand gasoline	86	transportation
1650	7/25/2013	dvd	21	entertainment
1651	7/16/2013	Ikea	127	home
1652	7/3/2013	Best Buy	362	home
1654	7/6/2013	Von Maur	141	shopping
1656	7/20/2013	Popeyes Chicken & Biscuits	16	restaurants
1657	7/13/2013	Green Burrito	6	restaurants
1658	7/8/2013	Swensen's	19	restaurants
1659	8/22/2013	Food Town	99	grocery
1660	8/25/2013	BP	77	transportation
1662	8/8/2013	Love's	47	transportation
1663	8/18/2013	76	94	transportation
1664	8/25/2013	Conoco	49	transportation
1665	8/8/2013	Royal Farms	90	transportation
1666	8/22/2013	Hulu	6	entertainment
1667	8/22/2013	dvds	24	entertainment
1668	8/11/2013	dvd	6	entertainment
1669	8/11/2013	Costco	385	home
1670	8/5/2013	Staples	104	home
1671	8/30/2013	Newegg	275	home
1672	8/29/2013	Bergdorf Goodman	185	shopping
1673	8/19/2013	Nordstrom Rack	200	shopping
1674	8/8/2013	Macy's	147	shopping
1675	8/15/2013	Off 5th Saks Fifth Avenue Outlet	82	shopping
1676	8/27/2013	Neiman Marcus	184	shopping
1677	8/8/2013	Houston's Restaurant	15	restaurants
1678	8/17/2013	Hard Rock Cafe	43	restaurants
1679	8/23/2013	Gatti's Pizza	13	restaurants
1680	8/2/2013	Chili's	35	restaurants
1681	8/30/2013	The Melting Pot	26	restaurants
1682	8/26/2013	Bob Evans Restaurants	10	restaurants
1683	8/14/2013	Tony Roma's	16	restaurants
1684	8/22/2013	Bertucci's	36	restaurants
1685	9/5/2013	Acme Fresh Market	84	grocery
1686	9/26/2013	Roth's Fresh Markets	54	grocery
1687	9/28/2013	Food City	114	grocery
1688	9/1/2013	BP	75	transportation
1689	9/18/2013	Phillips 66	98	transportation
1690	9/25/2013	Cumberland Farms	96	transportation
1692	9/8/2013	Pilot	36	transportation
1693	9/3/2013	Shell	26	transportation
1695	9/15/2013	dvd	26	entertainment
1696	9/29/2013	Hulu	20	entertainment
1697	9/11/2013	Herberger's	52	shopping
1698	9/4/2013	Neiman Marcus	115	shopping
1699	9/6/2013	Bergdorf Goodman	146	shopping
1700	9/7/2013	Nordstrom	172	shopping
1701	9/7/2013	Last Call Neiman Marcus	109	shopping
1702	9/20/2013	Tennesse Valley Authority	51	utilities
1703	9/11/2013	Village Inn	25	restaurants
1704	9/29/2013	Planet Hollywood	43	restaurants
1705	9/11/2013	Camille's Sidewalk Cafe	14	restaurants
1706	9/3/2013	Checkers	44	restaurants
1707	9/24/2013	Coco's Bakery	50	restaurants
1708	9/24/2013	Rax	34	restaurants
1709	9/12/2013	Farmer Boys	39	restaurants
1710	9/18/2013	Del Taco	50	restaurants
1711	9/9/2013	Olive Garden	26	restaurants
1712	10/3/2013	Walmart Supercenters	176	grocery
1713	10/28/2013	Westborn Market	60	grocery
1714	10/10/2013	gas	81	transportation
1715	10/20/2013	CVS	476	home
1716	10/8/2013	Kohl's	91	shopping
1718	10/22/2013	Last Call Neiman Marcus	147	shopping
1720	10/17/2013	L&L Hawaiian Barbecue	18	restaurants
1721	10/23/2013	Damon's Grill	25	restaurants
1722	11/27/2013	ShopRite	182	grocery
1723	11/25/2013	Price Chopper	153	grocery
1724	11/21/2013	QuikTrip	94	transportation
1725	11/1/2013	Carnival	94	transportation
1726	11/1/2013	dvd	26	entertainment
1727	11/20/2013	Netflix	5	entertainment
1728	11/24/2013	Netflix	27	entertainment
1729	11/4/2013	UPS	357	home
1730	11/4/2013	Hollister	75	shopping
1731	11/4/2013	Sears Essentials	112	shopping
1732	11/27/2013	Elder-Beerman	97	shopping
1733	11/16/2013	Boscov's	188	shopping
1734	11/28/2013	﻿Flint Energies	242	utilities
1735	11/6/2013	Tmobile	149	utilities
1736	11/10/2013	IHOP	28	restaurants
1737	11/25/2013	Fazoli's	31	restaurants
1739	12/26/2013	Houchens Industries	42	grocery
1740	12/12/2013	Central Market	177	grocery
1741	12/6/2013	Shell	77	transportation
1743	12/12/2013	Walmart	493	home
1744	12/7/2013	Alabama Power	55	utilities
1745	12/18/2013	Olive Garden	47	restaurants
